============= Kyber-1024
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=3329
dim = 1918, m = 893, dvol = 7242.61152315450, β = 873.2308

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 10, threads = 95, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:      261, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1504, cost =
 index:      262, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1471, cost =
 index:      263, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1494, cost =
 index:      264, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1497, cost =
 index:      265, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1507, cost =
 index:      266, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1508, cost =
 index:      267, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1465, cost =
 index:      268, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1491, cost =
 index:      269, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1494, cost =
 index:      270, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1507, cost =
 index:      271, (  58,   7): (  58,   4) --> (1499,   1), goal index:     1515, cost =
 index:      272, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1523, cost =
 index:      273, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1497, cost =
 index:      274, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1515, cost =
 index:      275, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1518, cost =
 index:      276, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1520, cost =
 index:      277, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1477, cost =
 index:      278, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1498, cost =
 index:      279, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1502, cost =
 index:      280, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1513, cost =
 index:      281, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1523, cost =
 index:      282, (  58,   7): (  58,   4) --> (1499,   1), goal index:     1526, cost =
 index:      283, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1530, cost =
 index:      284, (  56,   7): (  56,   4) --> (1499,   1), goal index:     1512, cost =
 index:      285, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1527, cost =
 index:      286, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1531, cost =
 index:      287, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1532, cost =
 index:      288, (  58,   7): (  58,   4) --> (1499,   1), goal index:     1545, cost =
 index:      289, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1556, cost =
 index:      290, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1526, cost =
 index:      291, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1539, cost =
 index:      292, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1549, cost =
 index:      293, (  58,   7): (  58,   4) --> (1499,   1), goal index:     1553, cost =
 index:      294, (  58,   7): (  58,   4) --> (1499,   1), goal index:     1556, cost =
 index:      295, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1567, cost =
 index:      296, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1547, cost =
 index:      297, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1558, cost =
 index:      298, (  58,   7): (  58,   4) --> (1499,   1), goal index:     1557, cost =
 index:      299, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1562, cost =
 index:      300, (  58,   7): (  58,   4) --> (1499,   1), goal index:     1563, cost =
 index:      301, (  58,   7): (  58,   4) --> (1499,   1), goal index:     1573, cost =
 index:      302, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1573, cost =
 index:      303, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1549, cost =
 index:      304, (  56,   4): (  56,   1) --> (1499,   1), goal index:     1558, cost =
 index:      305, (  57,   7): (  57,   4) --> (1499,   1), goal index:     1560, cost =
