============= Dilithium-I
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=8380417
dim = 2049, m = 1024, dvol = 15614.21931724470, β = 423.4283

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 3, threads = 95, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 


 index:      210, (  58,   4): (  58,   1) --> (1499,   1), goal index:      925, cost =
 index:      211, (  58,   4): (  58,   1) --> (1499,   1), goal index:      888, cost =
 index:      212, (  59,   7): (  59,   4) --> (1499,   1), goal index:      889, cost =
 index:      213, (  58,   4): (  58,   1) --> (1499,   1), goal index:      908, cost =
 index:      214, (  59,   7): (  59,   4) --> (1499,   1), goal index:      927, cost =
 index:      215, (  59,   7): (  59,   4) --> (1499,   1), goal index:      882, cost =
 index:      216, (  59,   7): (  59,   4) --> (1499,   1), goal index:      896, cost =
 index:      217, (  59,   7): (  59,   4) --> (1499,   1), goal index:      891, cost =
 index:      218, (  59,   7): (  59,   4) --> (1499,   1), goal index:      900, cost =
 index:      219, (  60,   7): (  60,   4) --> (1499,   1), goal index:      918, cost =
 index:      220, (  59,   7): (  59,   4) --> (1499,   1), goal index:      928, cost =
 index:      221, (  59,   7): (  59,   4) --> (1499,   1), goal index:      939, cost =
 index:      222, (  59,   7): (  59,   4) --> (1499,   1), goal index:      909, cost =
 index:      223, (  59,   7): (  59,   4) --> (1499,   1), goal index:      912, cost =
 index:      224, (  60,   7): (  60,   4) --> (1499,   1), goal index:      931, cost =
 index:      225, (  59,   7): (  59,   4) --> (1499,   1), goal index:      941, cost =
 index:      226, (  59,   4): (  59,   1) --> (1499,   1), goal index:      955, cost =
 index:      227, (  58,   4): (  58,   1) --> (1499,   1), goal index:      970, cost =
 index:      228, (  58,   4): (  58,   1) --> (1499,   1), goal index:      906, cost =
 index:      229, (  59,   7): (  59,   4) --> (1499,   1), goal index:      910, cost =
 index:      230, (  59,   7): (  59,   4) --> (1499,   1), goal index:      893, cost =
 index:      231, (  60,   7): (  60,   4) --> (1499,   1), goal index:      909, cost =
 index:      232, (  59,   7): (  59,   4) --> (1499,   1), goal index:      926, cost =
 index:      233, (  59,   7): (  59,   4) --> (1499,   1), goal index:      937, cost =
 index:      234, (  59,   7): (  59,   4) --> (1499,   1), goal index:      912, cost =
 index:      235, (  59,   7): (  59,   4) --> (1499,   1), goal index:      915, cost =
 index:      236, (  60,   7): (  60,   4) --> (1499,   1), goal index:      934, cost =
 index:      237, (  59,   7): (  59,   4) --> (1499,   1), goal index:      944, cost =
 index:      238, (  59,   4): (  59,   1) --> (1499,   1), goal index:      955, cost =
 index:      239, (  59,   7): (  59,   4) --> (1499,   1), goal index:      968, cost =
 index:      240, (  59,   7): (  59,   4) --> (1499,   1), goal index:      923, cost =
 index:      241, (  60,   7): (  60,   4) --> (1499,   1), goal index:      923, cost =
 index:      242, (  60,   7): (  60,   4) --> (1499,   1), goal index:      940, cost =
 index:      243, (  60,   7): (  60,   4) --> (1499,   1), goal index:      911, cost =
 index:      244, (  59,   7): (  59,   4) --> (1499,   1), goal index:      924, cost =
 index:      245, (  59,   7): (  59,   4) --> (1499,   1), goal index:      916, cost =
 index:      246, (  60,   7): (  60,   4) --> (1499,   1), goal index:      923, cost =
 index:      247, (  59,   7): (  59,   4) --> (1499,   1), goal index:      940, cost =
 index:      248, (  59,   4): (  59,   1) --> (1499,   1), goal index:      952, cost =
 index:      249, (  59,   7): (  59,   4) --> (1499,   1), goal index:      966, cost =
 index:      250, (  59,   7): (  59,   4) --> (1499,   1), goal index:      925, cost =
 index:      251, (  60,   7): (  60,   4) --> (1499,   1), goal index:      931, cost =
 index:      252, (  59,   4): (  59,   1) --> (1499,   1), goal index:      949, cost =
 index:      253, (  60,   7): (  60,   4) --> (1499,   1), goal index:      966, cost =
 index:      254, (  59,   4): (  59,   1) --> (1499,   1), goal index:      982, cost =
 index:      255, (  60,   7): (  60,   4) --> (1499,   1), goal index:      994, cost =
 index:      256, (  60,   7): (  60,   4) --> (1499,   1), goal index:      926, cost =
 index:      257, (  60,   7): (  60,   4) --> (1499,   1), goal index:      939, cost =
 index:      258, (  60,   7): (  60,   4) --> (1499,   1), goal index:      936, cost =
 index:      259, (  59,   7): (  59,   4) --> (1499,   1), goal index:      941, cost =
 index:      260, (  59,   7): (  59,   4) --> (1499,   1), goal index:      925, cost =
 index:      261, (  60,   7): (  60,   4) --> (1499,   1), goal index:      933, cost =
 index:      262, (  59,   4): (  59,   1) --> (1499,   1), goal index:      951, cost =
 index:      263, (  60,   7): (  60,   4) --> (1499,   1), goal index:      970, cost =
 index:      264, (  61,   7): (  61,   4) --> (1499,   1), goal index:      988, cost =
 index:      265, (  60,   7): (  60,   4) --> (1499,   1), goal index:      998, cost =
 index:      266, (  59,   4): (  59,   1) --> (1499,   1), goal index:     1008, cost =
 index:      267, (  59,   4): (  59,   1) --> (1499,   1), goal index:     1016, cost =
