============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 79, gap = 1, J = 15, J_gap = 1, cost_model = 1, max_loop = 30, threads = 50, prec = 1.000000e+03, strategy_add_method = 2

 index:  180, (beta,j): ( 339,   3) --> ( 699,   1), goal index: 22305, cost =
 index:  181, (beta,j): ( 351,   9) --> ( 699,   1), goal index: 22495, cost =
 index:  182, (beta,j): ( 353,  13) --> ( 699,   1), goal index: 22620, cost =
 index:  183, (beta,j): ( 353,  13) --> ( 699,   1), goal index: 22411, cost =
 index:  184, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22454, cost =
 index:  185, (beta,j): ( 352,  11) --> ( 699,   1), goal index: 22470, cost =
 index:  186, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22703, cost =
 index:  187, (beta,j): ( 349,   4) --> ( 699,   1), goal index: 22608, cost =
 index:  188, (beta,j): ( 349,   4) --> ( 699,   1), goal index: 22467, cost =
 index:  189, (beta,j): ( 336,  15) --> ( 699,   1), goal index: 22499, cost =
 index:  190, (beta,j): ( 353,  13) --> ( 699,   1), goal index: 22678, cost =
 index:  191, (beta,j): ( 336,  15) --> ( 699,   1), goal index: 22708, cost =
 index:  192, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22502, cost =
 index:  193, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22265, cost =
 index:  194, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22291, cost =
 index:  195, (beta,j): ( 352,  11) --> ( 699,   1), goal index: 21860, cost =
 index:  196, (beta,j): ( 353,  13) --> ( 699,   1), goal index: 22181, cost =
 index:  197, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22385, cost =
 index:  198, (beta,j): ( 336,  15) --> ( 699,   1), goal index: 22465, cost =
 index:  199, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22525, cost =
 index:  200, (beta,j): ( 351,   8) --> ( 699,   1), goal index: 22461, cost =
 index:  201, (beta,j): ( 351,   8) --> ( 699,   1), goal index: 22421, cost =
 index:  202, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22501, cost =
 index:  203, (beta,j): ( 349,   4) --> ( 699,   1), goal index: 22729, cost =
 index:  204, (beta,j): ( 351,   8) --> ( 699,   1), goal index: 22774, cost =
 index:  205, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22580, cost =
 index:  206, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22089, cost =
 index:  207, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22408, cost =
 index:  208, (beta,j): ( 351,   8) --> ( 699,   1), goal index: 22599, cost =
 index:  209, (beta,j): ( 353,  12) --> ( 699,   1), goal index: 22721, cost =
 index:  210, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22787, cost =
 index:  211, (beta,j): ( 349,   4) --> ( 699,   1), goal index: 22996, cost =
 index:  212, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 23040, cost =
 index:  213, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 21912, cost =
 index:  214, (beta,j): ( 349,   4) --> ( 699,   1), goal index: 22211, cost =
 index:  215, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22391, cost =
 index:  216, (beta,j): ( 350,   6) --> ( 699,   1), goal index: 22452, cost =
 index:  217, (beta,j): ( 352,  10) --> ( 699,   1), goal index: 22486, cost =
 index:  218, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22259, cost =
 index:  219, (beta,j): ( 349,   4) --> ( 699,   1), goal index: 22488, cost =
 index:  220, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22597, cost =
 index:  221, (beta,j): ( 350,   6) --> ( 699,   1), goal index: 22656, cost =
 index:  222, (beta,j): ( 350,   6) --> ( 699,   1), goal index: 22674, cost =
 index:  223, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22695, cost =
 index:  224, (beta,j): ( 351,   8) --> ( 699,   1), goal index: 22866, cost =
 index:  225, (beta,j): ( 353,  12) --> ( 699,   1), goal index: 22805, cost =
 index:  226, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22594, cost =
 index:  227, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22793, cost =
 index:  228, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22877, cost =
 index:  229, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 21827, cost =
 index:  230, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22114, cost =
 index:  231, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22285, cost =
 index:  232, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22366, cost =
 index:  233, (beta,j): ( 336,  15) --> ( 699,   1), goal index: 22422, cost =
 index:  234, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 22431, cost =
 index:  235, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 22467, cost =
 index:  236, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22515, cost =
 index:  237, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22547, cost =
 index:  238, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 22015, cost =
 index:  239, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22277, cost =
 index:  240, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22435, cost =
 index:  241, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22293, cost =
 index:  242, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 22536, cost =
 index:  243, (beta,j): ( 349,   4) --> ( 699,   1), goal index: 22672, cost =
 index:  244, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22721, cost =
 index:  245, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 22751, cost =
 index:  246, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22766, cost =
 index:  247, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22350, cost =
 index:  248, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 22557, cost =
 index:  249, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22658, cost =
 index:  250, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 22498, cost =
 index:  251, (beta,j): ( 350,   6) --> ( 699,   1), goal index: 22779, cost =
 index:  252, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 22900, cost =
 index:  253, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 23054, cost =
 index:  254, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 23066, cost =
 index:  255, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 23022, cost =
 index:  256, (beta,j): ( 340,   2) --> ( 699,   1), goal index: 23039, cost =
 index:  257, (beta,j): ( 349,   4) --> ( 699,   1), goal index: 23038, cost =
 index:  258, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 23032, cost =
 index:  259, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 23104, cost =
 index:  260, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 23103, cost =
 index:  261, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22143, cost =
 index:  262, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22300, cost =
 index:  263, (beta,j): ( 350,   6) --> ( 699,   1), goal index: 22456, cost =
 index:  264, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 22610, cost =
 index:  265, (beta,j): ( 349,   4) --> ( 699,   1), goal index: 22191, cost =
 index:  266, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 22486, cost =
 index:  267, (beta,j): ( 341,   2) --> ( 699,   1), goal index: 22398, cost =
 index:  268, (beta,j): ( 337,  15) --> ( 699,   1), goal index: 21843, cost =
 index:  269, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 21982, cost =
 index:  270, (beta,j): ( 352,  10) --> ( 699,   1), goal index: 22132, cost =
 index:  271, (beta,j): ( 355,  14) --> ( 699,   1), goal index: 22371, cost =
 index:  272, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22512, cost =
 index:  273, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 22713, cost =
 index:  274, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22583, cost =
 index:  275, (beta,j): ( 355,  14) --> ( 699,   1), goal index: 22706, cost =
 index:  276, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22891, cost =
 index:  277, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 22748, cost =
 index:  278, (beta,j): ( 337,  15) --> ( 699,   1), goal index: 22515, cost =
 index:  279, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 21938, cost =
 index:  280, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22251, cost =
 index:  281, (beta,j): ( 337,  15) --> ( 699,   1), goal index: 22407, cost =
 index:  282, (beta,j): ( 350,   5) --> ( 699,   1), goal index: 22365, cost =
 index:  283, (beta,j): ( 337,   1) --> ( 699,   1), goal index: 22617, cost =
 index:  284, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 21801, cost =
 index:  285, (beta,j): ( 341,   2) --> ( 699,   1), goal index: 22057, cost =
 index:  286, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22266, cost =
 index:  287, (beta,j): ( 341,   2) --> ( 699,   1), goal index: 22489, cost =
 index:  288, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22620, cost =
 index:  289, (beta,j): ( 339,   2) --> ( 699,   1), goal index: 22818, cost =
 index:  290, (beta,j): ( 351,   8) --> ( 699,   1), goal index: 22569, cost =
 index:  291, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 22734, cost =
 index:  292, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22757, cost =
 index:  293, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22869, cost =
 index:  294, (beta,j): ( 337,  15) --> ( 699,   1), goal index: 22878, cost =
 index:  295, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 22646, cost =
 index:  296, (beta,j): ( 350,   5) --> ( 699,   1), goal index: 22897, cost =
 index:  297, (beta,j): ( 350,   5) --> ( 699,   1), goal index: 22990, cost =
 index:  298, (beta,j): ( 341,   2) --> ( 699,   1), goal index: 23058, cost =
 index:  299, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 22887, cost =
 index:  300, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 23110, cost =
 index:  301, (beta,j): ( 350,   5) --> ( 699,   1), goal index: 23185, cost =
 index:  302, (beta,j): ( 341,   2) --> ( 699,   1), goal index: 23228, cost =
 index:  303, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 22868, cost =
 index:  304, (beta,j): ( 350,   5) --> ( 699,   1), goal index: 23099, cost =
 index:  305, (beta,j): ( 341,   2) --> ( 699,   1), goal index: 23191, cost =
 index:  306, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 22807, cost =
 index:  307, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 23032, cost =
 index:  308, (beta,j): ( 337,  15) --> ( 699,   1), goal index: 23200, cost =
 index:  309, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 23008, cost =
 index:  310, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 23152, cost =
 index:  311, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 23265, cost =
 index:  312, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 23272, cost =
 index:  313, (beta,j): ( 350,   5) --> ( 699,   1), goal index: 23319, cost =
 index:  314, (beta,j): ( 352,   9) --> ( 699,   1), goal index: 23308, cost =
 index:  315, (beta,j): ( 341,   3) --> ( 699,   1), goal index: 23327, cost =
 index:  316, (beta,j): ( 336,   1) --> ( 699,   1), goal index: 23529, cost =
 index:  317, (beta,j): ( 337,  15) --> ( 699,   1), goal index: 23654, cost =
 index:  318, (beta,j): ( 341,   2) --> ( 699,   1), goal index: 22878, cost =
