============= Kyber-I
[0m[1;31m dim = 1004, dvol = 3882.68 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS)
beta_start= 79, gap = 1, J = 5, J_gap = 1, cost_model = 1, max_loop = 5, threads = 1, G_prec = 1.000000e-03,  slope_prec = 0.000000e+00,  progressive_sieve = 1, average_case, Min G2 Strategy. 

 index:      166, (beta,j): ( 145,   5) --> ( 699,   1), goal index:     2475, cost =
 index:      167, (beta,j): ( 145,   1) --> ( 699,   1), goal index:     2479, cost =
 index:      168, (beta,j): ( 146,   5) --> ( 699,   1), goal index:     2483, cost =
 index:      169, (beta,j): ( 146,   1) --> ( 699,   1), goal index:     2489, cost =
 index:      170, (beta,j): ( 147,   5) --> ( 699,   1), goal index:     2501, cost =
 index:      171, (beta,j): ( 147,   1) --> ( 699,   1), goal index:     2508, cost =
 index:      172, (beta,j): ( 148,   5) --> ( 699,   1), goal index:     2509, cost =
 index:      173, (beta,j): ( 148,   1) --> ( 699,   1), goal index:     2511, cost =
 index:      174, (beta,j): ( 149,   5) --> ( 699,   1), goal index:     2509, cost =
 index:      175, (beta,j): ( 149,   1) --> ( 699,   1), goal index:     2520, cost =
 index:      176, (beta,j): ( 150,   5) --> ( 699,   1), goal index:     2525, cost =
 index:      177, (beta,j): ( 150,   1) --> ( 699,   1), goal index:     2532, cost =
 index:      178, (beta,j): ( 151,   5) --> ( 699,   1), goal index:     2540, cost =
 index:      179, (beta,j): ( 151,   1) --> ( 699,   1), goal index:     2549, cost =
 index:      180, (beta,j): ( 152,   5) --> ( 699,   1), goal index:     2561, cost =
 index:      181, (beta,j): ( 152,   1) --> ( 699,   1), goal index:     2567, cost =
 index:      182, (beta,j): ( 153,   5) --> ( 699,   1), goal index:     2571, cost =
 index:      183, (beta,j): ( 153,   1) --> ( 699,   1), goal index:     2574, cost =
 index:      184, (beta,j): ( 154,   5) --> ( 699,   1), goal index:     2589, cost =
 index:      185, (beta,j): ( 154,   1) --> ( 699,   1), goal index:     2598, cost =
 index:      186, (beta,j): ( 155,   5) --> ( 699,   1), goal index:     2607, cost =
 index:      187, (beta,j): ( 155,   1) --> ( 699,   1), goal index:     2616, cost =
 index:      188, (beta,j): ( 156,   5) --> ( 699,   1), goal index:     2622, cost =
 index:      189, (beta,j): ( 156,   1) --> ( 699,   1), goal index:     2629, cost =
 index:      190, (beta,j): ( 157,   5) --> ( 699,   1), goal index:     2634, cost =
 index:      191, (beta,j): ( 157,   1) --> ( 699,   1), goal index:     2644, cost =
 index:      192, (beta,j): ( 158,   5) --> ( 699,   1), goal index:     2649, cost =
 index:      193, (beta,j): ( 158,   1) --> ( 699,   1), goal index:     2654, cost =
 index:      194, (beta,j): ( 159,   5) --> ( 699,   1), goal index:     2658, cost =
 index:      195, (beta,j): ( 159,   1) --> ( 699,   1), goal index:     2661, cost =
 index:      196, (beta,j): ( 160,   5) --> ( 699,   1), goal index:     2672, cost =
 index:      197, (beta,j): ( 160,   1) --> ( 699,   1), goal index:     2678, cost =
 index:      198, (beta,j): ( 161,   5) --> ( 699,   1), goal index:     2684, cost =
 index:      199, (beta,j): ( 161,   1) --> ( 699,   1), goal index:     2687, cost =
 index:      200, (beta,j): ( 162,   5) --> ( 699,   1), goal index:     2692, cost =
 index:      201, (beta,j): ( 162,   1) --> ( 699,   1), goal index:     2700, cost =
 index:      202, (beta,j): ( 163,   5) --> ( 699,   1), goal index:     2711, cost =
 index:      203, (beta,j): ( 163,   1) --> ( 699,   1), goal index:     2713, cost =
 index:      204, (beta,j): ( 164,   5) --> ( 699,   1), goal index:     2720, cost =
 index:      205, (beta,j): ( 164,   1) --> ( 699,   1), goal index:     2728, cost =
 index:      206, (beta,j): ( 165,   5) --> ( 699,   1), goal index:     2733, cost =
 index:      207, (beta,j): ( 165,   1) --> ( 699,   1), goal index:     2744, cost =
 index:      208, (beta,j): ( 166,   5) --> ( 699,   1), goal index:     2750, cost =
 index:      209, (beta,j): ( 166,   1) --> ( 699,   1), goal index:     2752, cost =
 index:      210, (beta,j): ( 167,   5) --> ( 699,   1), goal index:     2763, cost =
 index:      211, (beta,j): ( 167,   1) --> ( 699,   1), goal index:     2775, cost =
 index:      212, (beta,j): ( 168,   5) --> ( 699,   1), goal index:     2777, cost =
 index:      213, (beta,j): ( 168,   1) --> ( 699,   1), goal index:     2781, cost =
 index:      214, (beta,j): ( 169,   5) --> ( 699,   1), goal index:     2788, cost =
 index:      215, (beta,j): ( 169,   1) --> ( 699,   1), goal index:     2792, cost =
 index:      216, (beta,j): ( 170,   5) --> ( 699,   1), goal index:     2800, cost =
 index:      217, (beta,j): ( 170,   1) --> ( 699,   1), goal index:     2809, cost =
 index:      218, (beta,j): ( 171,   5) --> ( 699,   1), goal index:     2816, cost =
 index:      219, (beta,j): ( 171,   1) --> ( 699,   1), goal index:     2821, cost =
 index:      220, (beta,j): ( 172,   5) --> ( 699,   1), goal index:     2817, cost =
 index:      221, (beta,j): ( 172,   1) --> ( 699,   1), goal index:     2822, cost =
 index:      222, (beta,j): ( 173,   5) --> ( 699,   1), goal index:     2829, cost =
 index:      223, (beta,j): ( 173,   1) --> ( 699,   1), goal index:     2830, cost =
 index:      224, (beta,j): ( 174,   5) --> ( 699,   1), goal index:     2831, cost =
 index:      225, (beta,j): ( 174,   1) --> ( 699,   1), goal index:     2833, cost =
 index:      226, (beta,j): ( 175,   5) --> ( 699,   1), goal index:     2836, cost =
 index:      227, (beta,j): ( 175,   1) --> ( 699,   1), goal index:     2840, cost =
 index:      228, (beta,j): ( 176,   5) --> ( 699,   1), goal index:     2847, cost =
 index:      229, (beta,j): ( 176,   1) --> ( 699,   1), goal index:     2852, cost =
 index:      230, (beta,j): ( 177,   5) --> ( 699,   1), goal index:     2858, cost =
 index:      231, (beta,j): ( 177,   1) --> ( 699,   1), goal index:     2870, cost =
 index:      232, (beta,j): ( 178,   5) --> ( 699,   1), goal index:     2884, cost =
 index:      233, (beta,j): ( 178,   1) --> ( 699,   1), goal index:     2899, cost =
 index:      234, (beta,j): ( 179,   5) --> ( 699,   1), goal index:     2906, cost =
 index:      235, (beta,j): ( 179,   1) --> ( 699,   1), goal index:     2911, cost =
 index:      236, (beta,j): ( 180,   5) --> ( 699,   1), goal index:     2920, cost =
 index:      237, (beta,j): ( 180,   1) --> ( 699,   1), goal index:     2936, cost =
 index:      238, (beta,j): ( 181,   5) --> ( 699,   1), goal index:     2940, cost =
 index:      239, (beta,j): ( 181,   1) --> ( 699,   1), goal index:     2952, cost =
 index:      240, (beta,j): ( 182,   5) --> ( 699,   1), goal index:     2958, cost =
 index:      241, (beta,j): ( 182,   1) --> ( 699,   1), goal index:     2968, cost =
 index:      242, (beta,j): ( 183,   5) --> ( 699,   1), goal index:     2973, cost =
 index:      243, (beta,j): ( 183,   1) --> ( 699,   1), goal index:     2976, cost =
 index:      244, (beta,j): ( 184,   5) --> ( 699,   1), goal index:     2983, cost =
 index:      245, (beta,j): ( 184,   1) --> ( 699,   1), goal index:     2989, cost =
 index:      246, (beta,j): ( 185,   5) --> ( 699,   1), goal index:     2991, cost =
 index:      247, (beta,j): ( 185,   1) --> ( 699,   1), goal index:     2995, cost =
 index:      248, (beta,j): ( 186,   5) --> ( 699,   1), goal index:     3004, cost =
 index:      249, (beta,j): ( 186,   1) --> ( 699,   1), goal index:     3009, cost =
 index:      250, (beta,j): ( 187,   5) --> ( 699,   1), goal index:     3019, cost =
 index:      251, (beta,j): ( 187,   1) --> ( 699,   1), goal index:     3026, cost =
 index:      252, (beta,j): ( 188,   5) --> ( 699,   1), goal index:     3035, cost =
 index:      253, (beta,j): ( 188,   1) --> ( 699,   1), goal index:     3042, cost =
 index:      254, (beta,j): ( 189,   5) --> ( 699,   1), goal index:     3050, cost =
